brand,name,price_cn,spec,link_cn,link_us,link_hk
nzxt,Kraken Z73,,https://pangoly.com/en/product/nzxt-kraken-z73,https://product.pconline.com.cn/sanre/nzxt/1242187.html,,
nzxt,Kraken Z53 RGB ,,https://pangoly.com/en/product/nzxt-kraken-z53-rgb,https://product.pconline.com.cn/sanre/nzxt/1444947.html,,
nzxt,Kraken X53,,https://pangoly.com/en/product/nzxt-kraken-x53,https://product.pconline.com.cn/sanre/nzxt/1257067.html,,
nzxt,Kraken Z63,,https://pangoly.com/en/product/nzxt-kraken-z63,https://product.pconline.com.cn/sanre/nzxt/1242147.html,,
nzxt,Kraken X72,,https://pangoly.com/en/product/nzxt-kraken-x72,https://product.pconline.com.cn/sanre/nzxt/1089441.html,,
nzxt,Kraken X52,,https://pangoly.com/en/product/nzxt-kraken-x52,https://product.pconline.com.cn/sanre/nzxt/643767.html,,
nzxt,Kraken Z73 RGB,,https://pangoly.com/en/product/nzxt-kraken-z73-rgb,https://product.pconline.com.cn/sanre/nzxt/1445007.html,,
nzxt,Kraken X53 RGB,,https://pangoly.com/en/product/nzxt-kraken-x53-rgb,https://product.pconline.com.cn/sanre/nzxt/1445047.html,,
nzxt,Kraken Elite 240 RGB,,https://pangoly.com/en/product/nzxt-kraken-elite-240-rgb,https://product.pconline.com.cn/sanre/nzxt/1832107.html,,
nzxt,Kraken Elite 280 RGB,,https://pangoly.com/en/product/nzxt-kraken-elite-280-rgb,https://product.pconline.com.cn/sanre/nzxt/1832087.html,,
nzxt,Kraken Elite 360 RGB,,https://pangoly.com/en/product/nzxt-kraken-elite-360-rgb,https://product.pconline.com.cn/sanre/nzxt/1830127.html,,
nzxt,Kraken 280,,https://pangoly.com/en/product/nxztkraken-280,https://product.pconline.com.cn/sanre/nzxt/1834687.html,,
