brand,name,price_cn,spec,link_cn,link_us,link_hk
intel,Core i3-12100,,https://nanoreview.net/en/cpu/intel-core-i3-12100,https://product.pconline.com.cn/cpu/intel/1473307.html,https://www.newegg.com/intel-core-i3-12100-core-i3-12th-gen/p/N82E16819118370,
intel,Core i3-12100F,,https://nanoreview.net/en/cpu/intel-core-i3-12100f,https://product.pconline.com.cn/cpu/intel/1473327.html,https://www.newegg.com/intel-core-i3-12100f-core-i3-12th-gen/p/N82E16819118357,
intel,Core i3-13100,,https://nanoreview.net/en/cpu/intel-core-i3-13100,https://product.pconline.com.cn/cpu/intel/1707727.html,https://www.newegg.com/intel-core-i3-13100-core-i3-13th-gen/p/19-118-432,https://www.price.com.hk/product.php?p=572276
intel,Core i3-13100F,,https://nanoreview.net/en/cpu/intel-core-i3-13100f,https://product.pconline.com.cn/cpu/intel/1707747.html,https://www.newegg.com/intel-core-i3-13100f-core-i3-13th-gen/p/19-118-433,https://www.price.com.hk/product.php?p=572277
intel,Core i3-14100,,https://nanoreview.net/en/cpu/intel-core-i3-14100,,https://www.newegg.com/intel-core-i3-14100-core-i3-14th-gen/p/N82E16819118483,
intel,Core i3-14100F,,https://nanoreview.net/en/cpu/intel-core-i3-14100f,https://product.pconline.com.cn/cpu/intel/2072847.html,https://www.newegg.com/intel-core-i3-14100f-core-i3-14th-gen/p/N82E16819118492,
intel,Core i5-12400,,https://nanoreview.net/en/cpu/intel-core-i5-12400,https://product.pconline.com.cn/cpu/intel/1468167.html,https://www.newegg.com/intel-core-i5-12400f-core-i5-12th-gen/p/N82E16819118358,
intel,Core i5-12400F,,https://nanoreview.net/en/cpu/intel-core-i5-12400f,https://product.pconline.com.cn/cpu/intel/1468187.html,https://www.newegg.com/intel-core-i5-12400f-core-i5-12th-gen/p/N82E16819118360,
intel,Core i5-12500,,https://nanoreview.net/en/cpu/intel-core-i5-12500,,https://www.newegg.com/intel-core-i5-14500-core-i5-14th-gen/p/N82E16819118478,
intel,Core i5-12600K,,https://nanoreview.net/en/cpu/intel-core-i5-12600k,https://product.pconline.com.cn/cpu/intel/1447867.html,https://www.newegg.com/intel-core-i5-12600k-core-i5-12th-gen/p/N82E16819118347,
intel,Core i5-12600KF,,https://nanoreview.net/en/cpu/intel-core-i5-12600kf,https://product.pconline.com.cn/cpu/intel/1447887.html,https://www.newegg.com/intel-core-i5-12600kf-core-i5-12th-gen/p/N82E16819118349,
intel,Core i5-13400,,https://nanoreview.net/en/cpu/intel-core-i5-13400,https://product.pconline.com.cn/cpu/intel/1707587.html,https://www.newegg.com/intel-core-i5-13400-core-i5-13th-gen/p/N82E16819118430,https://www.price.com.hk/product.php?p=572279
intel,Core i5-13400F,,https://nanoreview.net/en/cpu/intel-core-i5-13400f,https://product.pconline.com.cn/cpu/intel/1707607.html,https://www.newegg.com/intel-core-i5-13400f-core-i5-13th-gen/p/19-118-431,https://www.price.com.hk/product.php?p=572278
intel,Core i5-13500,,https://nanoreview.net/en/cpu/intel-core-i5-13500,,https://www.newegg.com/intel-core-i5-13500-core-i5-13th-gen/p/N82E16819118429,https://www.price.com.hk/product.php?p=572280
intel,Core i5-13600K,,https://nanoreview.net/en/cpu/intel-core-i5-13600k,https://product.pconline.com.cn/cpu/intel/1647447.html,https://www.newegg.com/intel-core-i5-13600k-core-i5-13th-gen/p/N82E16819118416,https://www.price.com.hk/product.php?p=563906
intel,Core i5-13600KF,,https://nanoreview.net/en/cpu/intel-core-i5-13600kf,https://product.pconline.com.cn/cpu/intel/1647467.html,https://www.newegg.com/intel-core-i5-13600kf-core-i5-13th-gen/p/N82E16819118417,https://www.price.com.hk/product.php?p=563908
intel,Core i5-14400,,https://nanoreview.net/en/cpu/intel-core-i5-14400,,https://www.newegg.com/intel-core-i5-14400-core-i5-14th-gen/p/N82E16819118480,
intel,Core i5-14400F,,https://nanoreview.net/en/cpu/intel-core-i5-14400f,https://product.pconline.com.cn/cpu/intel/2072867.html,https://www.newegg.com/intel-core-i5-14400f-core-i5-14th-gen/p/N82E16819118489,
intel,Core i5-14490F,,https://nanoreview.net/en/cpu/intel-core-i5-14400f,https://product.pconline.com.cn/cpu/intel/2083167.html,,
intel,Core i5-14500,,https://nanoreview.net/en/cpu/intel-core-i5-14500,,https://www.newegg.com/intel-core-i5-14500-core-i5-14th-gen/p/N82E16819118478,
intel,Core i5-14600K,,https://nanoreview.net/en/cpu/intel-core-i5-14600k,https://product.pconline.com.cn/cpu/intel/1971327.html,https://www.newegg.com/intel-core-i5-14600k-core-i5-14th-gen/p/N82E16819118470,
intel,Core i5-14600KF,,https://nanoreview.net/en/cpu/intel-core-i5-14600kf,https://product.pconline.com.cn/cpu/intel/1971387.html,https://www.newegg.com/intel-core-i5-14600kf-core-i5-14th-gen/p/N82E16819118472,
intel,Core i7-12700,,https://nanoreview.net/en/cpu/intel-core-i7-12700,https://product.pconline.com.cn/cpu/intel/1471107.html,https://www.newegg.com/intel-core-i7-12700-core-i7-12th-gen/p/N82E16819118368,
intel,Core i7-12700F,,https://nanoreview.net/en/cpu/intel-core-i7-12700f,https://product.pconline.com.cn/cpu/intel/1485327.html,https://www.newegg.com/intel-core-i7-12700f-core-i7-12th-gen/p/N82E16819118359,
intel,Core i7-12700K,,https://nanoreview.net/en/cpu/intel-core-i7-12700k,https://product.pconline.com.cn/cpu/intel/1447687.html,https://www.newegg.com/intel-core-i7-12700k-core-i7-12th-gen/p/N82E16819118343,
intel,Core i7-12700KF,,https://nanoreview.net/en/cpu/intel-core-i7-12700kf,https://product.pconline.com.cn/cpu/intel/1447787.html,https://www.newegg.com/intel-core-i7-12700kf-core-i7-12th-gen/p/N82E16819118345,
intel,Core i7-13700,,https://nanoreview.net/en/cpu/intel-core-i7-13700,https://product.pconline.com.cn/cpu/intel/1707627.html,https://www.newegg.com/intel-core-i7-13700-core-i7-13th-gen/p/19-118-427,https://www.price.com.hk/product.php?p=572282
intel,Core i7-13700F,,https://nanoreview.net/en/cpu/intel-core-i7-13700f,https://product.pconline.com.cn/cpu/intel/1707647.html,https://www.newegg.com/intel-core-i7-13700f-core-i7-13th-gen/p/19-118-428,https://www.price.com.hk/product.php?p=572281
