brand,name,price_cn,spec,link_cn,link_us,link_hk
samsung,Samsung 990 PRO 4TB,,https://pangoly.com/en/product/samsung-990-pro-4tb,https://product.pconline.com.cn/dianziyingpan/samsung/1962387.html,,
samsung,Samsung 990 PRO 1TB,,https://pangoly.com/en/product/samsung-990-pro-1tb,https://product.pconline.com.cn/dianziyingpan/samsung/1676547_price.html,,
samsung,Samsung 990 PRO 2TB,,https://pangoly.com/en/product/samsung-990-pro-2tb,https://product.pconline.com.cn/dianziyingpan/samsung/1676567.html,,
samsung,Samsung 990 EVO 1TB,,https://pangoly.com/en/product/samsung-990-evo-1tb,https://product.pconline.com.cn/dianziyingpan/samsung/2099147.html,,
samsung,Samsung 990 EVO 2TB,,https://pangoly.com/en/product/samsung-990-evo-2tb,https://product.pconline.com.cn/dianziyingpan/samsung/2099167.html,,
samsung,Samsung 980 PRO 500GB,,https://pangoly.com/en/product/samsung-980-pro-500gb,https://product.pconline.com.cn/dianziyingpan/samsung/1239907.html,,
samsung,Samsung 980 PRO 1TB,,https://pangoly.com/en/product/samsung-980-pro-1tb,https://product.pconline.com.cn/dianziyingpan/samsung/1239853.html,,
samsung,Samsung 980 PRO 2TB,,https://pangoly.com/en/product/samsung-980-pro-2tb,https://product.pconline.com.cn/dianziyingpan/samsung/1239853.html,,
zhitai,TiPlus7100 500GB,,,https://product.pconline.com.cn/dianziyingpan/zhitai/1676647.html,,
zhitai,TiPlus7100 1TB,,,https://product.pconline.com.cn/dianziyingpan/zhitai/1676667.html,,
zhitai,TiPlus7100 2TB,,,https://product.pconline.com.cn/dianziyingpan/zhitai/1700507.html,,
zhitai,TiPlus7100 4TB,,,https://product.pconline.com.cn/dianziyingpan/zhitai/2036827.html,,
westerndigital,WD BLACK SN770 1TB,489,https://pangoly.com/en/product/wd-black-sn770-1tb,https://item.jd.com/10046656811913.html,,
westerndigital,WD BLACK SN770 2TB,869,https://pangoly.com/en/product/wd-black-sn770-2tb,https://item.jd.com/10046656811914.html,,
westerndigital,WD BLACK SN850X 1TB,599,https://pangoly.com/en/product/western-digital-black-sn850x-1tb,https://product.pconline.com.cn/dianziyingpan/wd/1633067.html,,
westerndigital,WD BLACK SN850X 2TB,999,https://pangoly.com/en/product/western-digital-black-sn850x-2tb,https://product.pconline.com.cn/dianziyingpan/wd/1633087_price.html,,
westerndigital,WD BLUE SN580 1TB,,https://pangoly.com/en/product/wd-blue-sn580-1tb,https://product.pconline.com.cn/dianziyingpan/wd/1910187.html,,
westerndigital,WD BLUE SN580 2TB,,https://pangoly.com/en/product/wd-blue-sn580-2tb,https://product.pconline.com.cn/dianziyingpan/wd/1910207_price.html,,
